,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
61,61,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,60762,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038360138,1681038360539,401,9,1236,1681038360138,1681038360539,401,6,695,1681038360270,1681038360539,269,3,541,66,137.33333333333334,137.49454534635183,401,66,115.83333333333331,118.19038313952058,357,66,180.33333333333331,191.14479677284797,401,0,50.12500000000001,68.95845022289043,153,1,80.2,72.8471001481871,153,115,134.5,27.577164466275352,154,2,0,0,0,8,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
62,62,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,44104,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681038360190,1681038376278,16088,943,826616,1681038360190,1681038376278,16088,371,28418,1681038360308,1681038376278,15970,572,798198,54,876.5811240721113,720.6996611897878,2522,54,76.59838274932615,48.868581600530426,523,66,1395.45104895105,412.1017413641019,2522,0,17.078556263269626,63.45639709636169,1319,0,43.48108108108112,103.586712266476,1319,0,27.968476357267978,93.29157680499443,1553,2,0,0,0,930,176,12,1,1,0,0,0,358,12,12,1,1,0,0,0,572,164,0,0,TLS,Web,1,1,,,,,
63,63,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,60772,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038360191,1681038360536,345,10,1177,1681038360191,1681038360507,316,6,675,1681038360308,1681038360536,228,4,502,66,117.7,105.27218689346836,337,66,112.5,110.02863263714586,337,66,125.5,113.72921055442764,296,0,38.333333333333336,51.744564931981024,117,0,63.2,58.80646222992844,117,29,76.0,43.9203825119955,116,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
64,64,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,60782,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038360191,1681038360546,355,9,1389,1681038360191,1681038360546,355,6,920,1681038360308,1681038360546,238,3,469,66,154.33333333333334,182.11534806270447,582,66,153.33333333333334,210.02729981282596,582,66,156.33333333333334,149.58720979192483,329,0,44.375,60.97057252712749,119,0,71.0,64.3622560201241,119,119,119.0,0.0,119,2,0,0,0,8,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
65,65,0,192.168.104.179,28:c6:3f:b7:6a:65,28:c6:3f,65213,239.255.255.250,01:00:5e:7f:ff:fa,01:00:5e,1900,17,4,0,0,1681038382482,1681038385497,3015,4,844,1681038382482,1681038385497,3015,4,844,0,0,0,0,0,211,211.0,0.0,211,211,211.0,0.0,211,0,0.0,0.0,0,937,1005.0,96.14572273377532,1115,937,1005.0,96.14572273377532,1115,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSDP,System,0,6,239.255.255.250:1900,,,,
66,66,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,45504,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681038555190,1681038614094,58904,7375,7008212,1681038555190,1681038614094,58904,2821,240181,1681038555475,1681038614094,58619,4554,6768031,54,950.2660338983048,774.2449497464987,3750,54,85.1403757532789,61.75209075968274,1294,66,1486.1728151076015,466.3936600364866,3750,0,7.988066178464873,32.38677017106858,1322,0,20.88794326241131,53.27635351580888,1322,0,12.874807819020406,44.17520994958396,1689,2,0,0,0,7310,2987,64,1,1,0,0,0,2756,51,64,1,1,0,0,0,4554,2936,0,0,TLS,Web,1,1,,,,,
67,67,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,37738,149.154.167.41,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681038082060,1681038608986,526926,1268,496850,1681038082060,1681038608986,526926,613,117767,1681038082163,1681038608986,526823,655,379083,66,391.8375394321762,561.203330358634,2522,66,192.11582381729195,152.58123721003204,692,66,578.7526717557256,718.3238367573922,2522,0,415.884767166535,1242.0561607504476,10223,0,860.9901960784313,1717.6967116918747,10357,0,805.5397553516821,1738.3088314115796,10953,0,0,0,0,1268,748,0,2,0,0,0,0,613,277,0,1,0,0,0,0,655,471,0,1,TLS,Web,1,1,,,,,
68,68,0,192.168.104.179,28:c6:3f:b7:6a:65,28:c6:3f,62961,239.255.255.250,01:00:5e:7f:ff:fa,01:00:5e,1900,17,4,0,0,1681038142636,1681038145500,2864,4,844,1681038142636,1681038145500,2864,4,844,0,0,0,0,0,211,211.0,0.0,211,211,211.0,0.0,211,0,0.0,0.0,0,709,954.6666666666666,218.8979975544165,1129,709,954.6666666666666,218.8979975544165,1129,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSDP,System,0,6,239.255.255.250:1900,,,,
69,69,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,36280,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038161817,1681038162297,480,10,1290,1681038161817,1681038162297,480,6,711,1681038161943,1681038162297,354,4,579,66,129.0,128.64075732225945,373,66,118.5,124.72008659394044,373,66,144.75,152.21339187688667,373,0,53.333333333333336,87.5956619930462,242,0,96.0,101.1236866416568,242,0,118.0,121.11151885762146,242,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
70,70,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,39292,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681038236073,1681038254474,18401,45,28239,1681038236073,1681038254474,18401,23,3240,1681038236184,1681038254474,18290,22,24999,66,627.5333333333332,857.0159540256793,2522,66,140.8695652173913,132.99224322829238,443,66,1136.318181818182,994.880341518212,2522,0,418.2045454545455,1672.5030062829096,9996,0,836.409090909091,2353.847319948281,10138,0,870.952380952381,2446.332877516681,10090,2,0,0,0,44,23,0,2,1,0,0,0,22,6,0,1,1,0,0,0,22,17,0,1,TLS,Web,1,1,,,,,
