,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,0,192.168.51.147,12:79:72:a1:d2:ef,12:79:72,5353,224.0.0.251,01:00:5e:00:00:fb,01:00:5e,5353,17,4,0,0,1680353986171,1680354066116,79945,5,515,1680353986171,1680354066116,79945,5,515,0,0,0,0,0,103,103.0,0.0,103,103,103.0,0.0,103,0,0.0,0.0,0,19812,19986.25,153.88821700615492,20184,19812,19986.25,153.88821700615492,20184,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MDNS,Network,0,6,_f3514b38._sub._googlecast._tcp.local,,,,
1,1,0,149.154.167.41,12:79:72:a1:d2:ef,12:79:72,443,192.168.51.233,30:c9:ab:c2:08:7b,30:c9:ab,39602,6,4,0,0,1680353986798,1680354071454,84656,49,6586,1680353986798,1680354071454,84656,25,3298,1680353986798,1680354071312,84514,24,3288,66,134.4081632653061,83.08628004654433,379,66,131.92,50.64411778940044,171,66,137.00000000000003,108.24448976838218,379,0,1763.6666666666672,3474.853472088035,14543,0,3527.333333333333,4300.281079455021,14543,0,3674.5217391304345,4334.589084745731,14696,0,0,0,0,49,24,0,0,0,0,0,0,25,16,0,0,0,0,0,0,24,8,0,0,TLS,Web,1,1,,,,,
2,2,0,192.168.51.233,30:c9:ab:c2:08:7b,30:c9:ab,60224,74.125.205.95,12:79:72:a1:d2:ef,12:79:72,443,6,4,0,0,1680353987056,1680353997497,10441,6,469,1680353987056,1680353997497,10441,3,198,1680353987403,1680353997497,10094,3,271,66,78.16666666666666,29.802125203862,139,66,66.0,0.0,66,66,90.33333333333331,42.14656965084268,139,0,2088.2,4434.604796371375,10017,71,5220.5,7282.492739440253,10370,77,5047.0,7028.641404994282,10017,0,0,0,0,6,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,1,TLS,Web,0,6,,,,,
3,3,0,192.168.51.233,30:c9:ab:c2:08:7b,30:c9:ab,46026,91.236.136.144,12:79:72:a1:d2:ef,12:79:72,443,6,4,0,0,1680353987076,1680354059130,72054,8,567,1680353987076,1680354059040,71964,3,198,1680353987403,1680354059130,71727,5,369,66,70.875,13.788582233137678,105,66,66.0,0.0,66,66,73.8,17.44133022449836,105,0,10293.42857142857,18199.568134593585,45033,26604,35982.0,13262.494787934886,45360,0,17931.75,22017.79081220457,45162,0,0,0,0,8,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,5,1,0,1,TLS,Web,0,6,,,,,
4,4,0,192.168.51.233,30:c9:ab:c2:08:7b,30:c9:ab,43946,151.101.86.49,12:79:72:a1:d2:ef,12:79:72,443,6,4,0,0,1680353989200,1680354081400,92200,6,396,1680353989200,1680354081308,92108,3,198,1680353989283,1680354081400,92117,3,198,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,66,83,18440.0,25135.49387817952,46925,45100,46054.0,1349.1597385039329,47008,45096,46058.5,1361.180553784104,47021,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,TLS,Web,1,1,,,,,
5,5,0,173.194.222.157,12:79:72:a1:d2:ef,12:79:72,443,192.168.51.233,30:c9:ab:c2:08:7b,30:c9:ab,46122,6,4,0,0,1680353990389,1680353990389,0,1,54,1680353990389,1680353990389,0,1,54,0,0,0,0,0,54,54.0,0.0,54,54,54.0,0.0,54,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,TLS,Web,1,1,,,,,
6,6,0,192.168.51.233,30:c9:ab:c2:08:7b,30:c9:ab,43734,64.233.164.198,12:79:72:a1:d2:ef,12:79:72,443,6,4,0,0,1680353991649,1680354009178,17529,20,1661,1680353991649,1680353991718,69,3,723,1680353991718,1680354009178,17460,17,938,54,83.04999999999997,117.85516311848288,583,66,241.0,296.2076974016712,583,54,55.1764705882353,4.85071250072666,74,0,922.5789473684212,1910.8831964940389,7376,0,34.5,48.79036790187178,69,0,1091.25,2046.7933131282864,7376,2,0,0,0,19,1,16,0,1,0,0,0,2,1,0,0,1,0,0,0,17,0,16,0,TLS.YouTube,Media,0,6,yt3.ggpht.com,bff296b04bd463b713741d9fb269b32d,,,
7,7,0,192.168.51.233,30:c9:ab:c2:08:7b,30:c9:ab,47698,64.233.164.94,12:79:72:a1:d2:ef,12:79:72,443,6,4,0,0,1680353995248,1680354004556,9308,7,535,1680353995248,1680354004556,9308,4,264,1680353995429,1680354004556,9127,3,271,66,76.42857142857142,27.591406529673588,139,66,66.0,0.0,66,66,90.33333333333331,42.14656965084268,139,0,1551.3333333333333,3676.714819872037,9055,0,3102.666666666667,5311.744471765687,9236,72,4563.5,6351.940215398757,9055,0,0,0,0,7,1,0,2,0,0,0,0,4,0,0,1,0,0,0,0,3,1,0,1,TLS,Web,0,6,,,,,
8,8,0,192.168.51.233,30:c9:ab:c2:08:7b,30:c9:ab,60544,64.233.164.198,12:79:72:a1:d2:ef,12:79:72,443,6,4,0,0,1680353996566,1680354008627,12061,18,1553,1680353996566,1680353996805,239,3,723,1680353996804,1680354008627,11823,15,830,54,86.27777777777774,124.1516177220681,583,66,241.0,296.2076974016712,583,54,55.333333333333336,5.163977794943222,74,0,709.4705882352941,1272.1734904115408,4570,1,119.5,167.58430714121175,238,0,844.5,1370.317411292839,4570,2,0,0,0,17,1,14,0,1,0,0,0,2,1,0,0,1,0,0,0,15,0,14,0,TLS.YouTube,Media,0,6,yt3.ggpht.com,704079e3529a089762bd442965d7ef46,,,
9,9,0,192.168.51.233,30:c9:ab:c2:08:7b,30:c9:ab,60554,64.233.164.198,12:79:72:a1:d2:ef,12:79:72,443,6,4,0,0,1680353996612,1680354015459,18847,19,1607,1680353996612,1680353996814,202,3,723,1680353996813,1680354015459,18646,16,884,54,84.57894736842103,120.880710615178,583,66,241.0,296.2076974016712,583,54,55.25,5.0,74,0,1047.0555555555557,2229.356738460729,8541,1,101.0,141.4213562373095,201,0,1243.0666666666666,2405.4431568740883,8541,2,0,0,0,18,1,15,0,1,0,0,0,2,1,0,0,1,0,0,0,16,0,15,0,TLS.YouTube,Media,0,6,yt3.ggpht.com,73851fc5eb3e72ed72796c4d9b0cdd1c,,,
