,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,0,10.42.0.168,00:00:00:00:00:00,00:00:00,43528,64.233.161.105,00:00:00:00:00:00,00:00:00,443,6,4,0,0,1680958311086,1680958322898,11812,6,481,1680958311086,1680958322898,11812,3,204,1680958311172,1680958322760,11588,3,277,68,80.16666666666666,29.802125203862,141,68,68.0,0.0,68,68,92.33333333333331,42.14656965084268,141,5,2362.4,5122.834205788823,11526,195,5906.0,8076.573654712746,11617,62,5794.0,8106.272139522581,11526,0,0,0,0,6,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,1,TLS,Web,0,6,,,,,
1,1,0,192.168.205.214,00:00:00:00:00:00,00:00:00,58006,64.233.165.95,00:00:00:00:00:00,00:00:00,443,6,4,0,0,1680958311133,1680958322242,11109,6,481,1680958311133,1680958322242,11109,3,204,1680958311221,1680958322147,10926,3,277,68,80.16666666666666,29.802125203862,141,68,68.0,0.0,68,68,92.33333333333331,42.14656965084268,141,5,2221.8,4832.385508214344,10866,150,5554.5,7643.117197845392,10959,60,5463.0,7640.995877501832,10866,0,0,0,0,6,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,1,TLS,Web,0,6,,,,,
2,2,0,10.42.0.168,00:00:00:00:00:00,00:00:00,58171,10.42.0.1,00:00:00:00:00:00,00:00:00,53,17,4,0,0,1680958312097,1680958312098,1,2,348,1680958312097,1680958312097,0,1,102,1680958312098,1680958312098,0,1,246,102,174.0,101.82337649086284,246,102,102.0,0.0,102,246,246.0,0.0,246,1,1.0,0.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.UbuntuONE,Network,0,6,connectivity-check.ubuntu.com,,,,
3,3,0,10.42.0.168,00:00:00:00:00:00,00:00:00,56616,185.125.190.17,00:00:00:00:00:00,00:00:00,80,6,4,0,0,1680958312113,1680958312461,348,12,1108,1680958312113,1680958312461,348,7,571,1680958312224,1680958312454,230,5,537,56,92.33333333333331,57.683041990981486,257,56,81.57142857142858,33.24583754826632,155,68,107.4,83.70065710614224,257,0,31.63636363636364,48.38651201992706,115,0,58.0,62.478796403259885,118,3,57.5,58.60887304837041,119,2,0,0,0,10,2,1,2,1,0,0,0,5,1,1,1,1,0,0,0,5,1,0,1,HTTP.UbuntuONE,Cloud,0,6,connectivity-check.ubuntu.com,,,,
4,4,0,192.168.205.214,00:00:00:00:00:00,00:00:00,47870,64.233.165.196,00:00:00:00:00:00,00:00:00,443,6,4,0,0,1680958311133,1680958323078,11945,6,481,1680958311133,1680958323078,11945,3,204,1680958311214,1680958322963,11749,3,277,68,80.16666666666666,29.802125203862,141,68,68.0,0.0,68,68,92.33333333333331,42.14656965084268,141,37,2389.0,5175.456115165117,11647,180,5972.5,8191.832060046153,11765,102,5874.5,8163.547788798691,11647,0,0,0,0,6,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,1,TLS,Web,0,6,,,,,
5,5,0,10.42.0.168,00:00:00:00:00:00,00:00:00,38146,142.250.150.198,00:00:00:00:00:00,00:00:00,443,6,4,0,0,1680958312341,1680958485435,173094,214,107152,1680958312341,1680958485356,173015,71,26629,1680958312416,1680958485435,173019,143,80523,68,500.7102803738317,626.6761038548096,2844,68,375.05633802816914,563.8757180018597,2844,68,563.0979020979023,648.4840319109292,1456,0,812.647887323944,4156.988921031999,29815,0,2471.6428571428573,7021.063406874632,29891,0,1218.4436619718315,5069.675497784044,29884,0,0,0,0,214,117,0,0,0,0,0,0,71,41,0,0,0,0,0,0,143,76,0,0,TLS,Web,0,6,,,,,
6,6,0,10.42.0.168,00:00:00:00:00:00,00:00:00,50488,173.194.222.94,00:00:00:00:00:00,00:00:00,443,6,4,0,0,1680958315146,1680958327294,12148,6,481,1680958315146,1680958327294,12148,3,204,1680958315209,1680958327291,12082,3,277,68,80.16666666666666,29.802125203862,141,68,68.0,0.0,68,68,92.33333333333331,42.14656965084268,141,3,2429.6,5351.791924206322,12003,77,6074.0,8481.038733551452,12071,79,6041.0,8431.541258868392,12003,0,0,0,0,6,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,1,TLS,Web,0,6,,,,,
7,7,0,192.168.205.214,00:00:00:00:00:00,00:00:00,50192,173.194.73.95,00:00:00:00:00:00,00:00:00,443,6,4,0,0,1680958315146,1680958452367,137221,8,544,1680958315146,1680958452298,137152,4,272,1680958315209,1680958452367,137158,4,272,68,68.0,0.0,68,68,68.0,0.0,68,68,68.0,0.0,68,63,19603.0,24367.58434888448,46652,45054,45717.333333333336,893.9985085744447,46734,45056,45719.333333333336,882.5578356874588,46721,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,TLS,Web,1,1,,,,,
8,8,0,10.42.0.168,00:00:00:00:00:00,00:00:00,54278,34.104.35.123,00:00:00:00:00:00,00:00:00,80,6,4,0,0,1680958315214,1680958454469,139255,8,544,1680958315214,1680958454348,139134,4,272,1680958315335,1680958454469,139134,4,272,68,68.0,0.0,68,68,68.0,0.0,68,68,68.0,0.0,68,114,19893.571428571428,24666.07139275286,46889,45204,46378.0,1017.7091922548406,47010,45223,46378.0,1001.3865387551402,47003,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,HTTP,Web,1,1,,,,,
9,9,0,192.168.205.214,00:00:00:00:00:00,00:00:00,50602,64.233.164.94,00:00:00:00:00:00,00:00:00,443,6,4,0,0,1680958317215,1680958329802,12587,8,629,1680958317215,1680958329731,12516,4,272,1680958317285,1680958329802,12517,4,357,68,78.62499999999999,25.55071986685083,141,68,68.0,0.0,68,68,89.25,34.96069221282668,141,3,1798.142857142857,4487.366504182285,11973,3,4172.0,6979.836889211667,12230,244,4172.333333333333,6755.633525683089,11973,0,0,0,0,8,1,0,3,0,0,0,0,4,0,0,2,0,0,0,0,4,1,0,1,TLS,Web,0,6,,,,,
