,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,58367,192.168.104.216,b2:61:29:ed:05:ca,b2:61:29,53,17,4,0,0,1681043729002,1681043729043,41,2,245,1681043729002,1681043729002,0,1,83,1681043729043,1681043729043,0,1,162,83,122.5,55.86143571373726,162,83,83.0,0.0,83,162,162.0,0.0,162,41,41.0,0.0,41,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Telegram,Network,0,6,zws4-1.web.telegram.org,,,,
1,1,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,49814,93.186.225.201,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681043727923,1681043772379,44456,48,7332,1681043727923,1681043772379,44456,24,3439,1681043728371,1681043772379,44008,24,3893,66,152.75000000000003,137.695084045193,519,66,143.29166666666666,90.33246764118054,286,66,162.20833333333331,174.34897018851905,519,0,945.8723404255315,3728.684251075481,25071,0,1932.8695652173908,5208.845678304864,25071,0,1913.391304347826,5222.3714374630645,25104,0,0,0,0,48,24,0,0,0,0,0,0,24,14,0,0,0,0,0,0,24,10,0,0,TLS,Web,0,6,,,,,
2,2,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,53310,173.194.73.95,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681043727348,1681043772596,45248,4,264,1681043727348,1681043772452,45104,2,132,1681043727448,1681043772596,45148,2,132,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,66,100,15082.666666666668,25912.64412084057,45004,45104,45104.0,0.0,45104,45148,45148.0,0.0,45148,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,TLS,Web,1,1,,,,,
3,3,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,60092,87.240.190.90,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681043728919,1681043763053,34134,20,8652,1681043728919,1681043763053,34134,12,7384,1681043729006,1681043763053,34047,8,1268,66,432.6,534.3744399812393,1454,66,615.3333333333334,629.2398492457291,1454,66,158.5,98.88665950759705,251,0,1796.5263157894738,4234.6470713287845,13748,0,3103.090909090909,5274.295866834652,13748,0,4863.857142857143,6195.568750555282,13867,0,0,0,0,20,8,0,0,0,0,0,0,12,4,0,0,0,0,0,0,8,4,0,0,TLS,Web,0,6,,,,,
4,4,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,55124,87.240.132.67,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681043727792,1681043727927,135,2,132,1681043727792,1681043727792,0,1,66,1681043727927,1681043727927,0,1,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,66,135,135.0,0.0,135,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,TLS,Web,1,1,,,,,
5,5,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,59626,213.180.204.186,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681043733888,1681043734043,155,8,4444,1681043733888,1681043734043,155,4,3083,1681043733964,1681043734043,79,4,1361,66,555.4999999999999,669.9108682717211,1454,66,770.75,789.1444206649799,1454,66,340.25,548.5,1163,0,22.142857142857142,29.9968252288392,75,0,51.66666666666666,88.62467677421077,154,0,26.333333333333336,23.71356854910988,46,0,0,0,0,8,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,1,0,0,TLS,Web,0,6,,,,,
6,6,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,36879,192.168.104.216,b2:61:29:ed:05:ca,b2:61:29,53,17,4,0,0,1681043729002,1681043729040,38,2,182,1681043729002,1681043729002,0,1,83,1681043729040,1681043729040,0,1,99,83,91.0,11.31370849898476,99,83,83.0,0.0,83,99,99.0,0.0,99,38,38.0,0.0,38,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Telegram,Network,0,6,zws4-1.web.telegram.org,,,,
7,7,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,59636,213.180.204.186,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681043733908,1681043733990,82,2,132,1681043733908,1681043733908,0,1,66,1681043733990,1681043733990,0,1,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,66,82,82.0,0.0,82,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,TLS,Web,1,1,,,,,
8,8,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,37820,64.233.165.138,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681043729970,1681043730383,413,16,3954,1681043729970,1681043730255,285,6,2264,1681043730250,1681043730383,133,10,1690,66,247.12500000000009,355.7931749392242,1454,66,377.33333333333337,537.447547828313,1454,66,169.0,180.0685054824043,519,0,27.53333333333333,77.1944360195795,280,0,57.0,126.34080892569906,283,0,14.77777777777778,43.21972286404026,130,0,0,0,0,16,9,0,0,0,0,0,0,6,4,0,0,0,0,0,0,10,5,0,0,TLS,Web,0,6,,,,,
9,9,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,58586,64.233.161.95,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681043754324,1681043769355,15031,15,2513,1681043754324,1681043769262,14938,6,894,1681043754522,1681043769355,14833,9,1619,66,167.53333333333333,179.74341500621165,678,66,149.0,137.49036329866905,425,66,179.88888888888889,210.4622557873765,678,0,1073.642857142857,3896.713972787108,14611,0,2987.6,6608.567038322301,14809,1,1854.125,5191.779145575107,14703,0,0,0,0,15,8,0,0,0,0,0,0,6,4,0,0,0,0,0,0,9,4,0,0,TLS,Web,0,6,,,,,
